"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"32711","ENSG00000286835.1","","ENSG00000286835"
"32712","ENSG00000286840.1","","ENSG00000286840"
"32713","ENSG00000286842.1","","ENSG00000286842"
"32714","ENSG00000286850.1","","ENSG00000286850"
"32715","ENSG00000286858.1","","ENSG00000286858"
"32716","ENSG00000286876.1","","ENSG00000286876"
"32717","ENSG00000286881.2","","ENSG00000286881"
"32718","ENSG00000286924.1","","ENSG00000286924"
"32719","ENSG00000286935.1","","ENSG00000286935"
"32720","ENSG00000286944.1","","ENSG00000286944"
"32721","ENSG00000286951.1","","ENSG00000286951"
"32722","ENSG00000286958.1","","ENSG00000286958"
"32723","ENSG00000286959.1","","ENSG00000286959"
"32724","ENSG00000286960.1","","ENSG00000286960"
"32725","ENSG00000286981.1","","ENSG00000286981"
"32726","ENSG00000286993.1","","ENSG00000286993"
"32727","ENSG00000286998.1","","ENSG00000286998"
"32728","ENSG00000287009.1","","ENSG00000287009"
"32729","ENSG00000287016.1","","ENSG00000287016"
"32730","ENSG00000287023.2","","ENSG00000287023"
"32731","ENSG00000287043.1","","ENSG00000287043"
"32732","ENSG00000287047.1","","ENSG00000287047"
"32733","ENSG00000287057.1","","ENSG00000287057"
"32734","ENSG00000287070.1","","ENSG00000287070"
"32735","ENSG00000287077.1","","ENSG00000287077"
"32736","ENSG00000287120.1","","ENSG00000287120"
"32737","ENSG00000287124.2","","ENSG00000287124"
"32738","ENSG00000287150.1","","ENSG00000287150"
"32739","ENSG00000287173.1","","ENSG00000287173"
"32740","ENSG00000287175.1","","ENSG00000287175"
"32741","ENSG00000287187.1","","ENSG00000287187"
"32742","ENSG00000287212.1","","ENSG00000287212"
"32743","ENSG00000287221.1","","ENSG00000287221"
